Date,New,New sum,Deaths,Death sum
15 Jun 2020,2449,189876,113,8950
16 Jun 2020,2563,192439,115,9065
17 Jun 2020,2612,195051,120,9185
18 Jun 2020,2596,197647,87,9272
19 Jun 2020,2615,200262,120,9392
20 Jun 2020,2322,202584,115,9507
21 Jun 2020,2368,204952,116,9623
22 Jun 2020,2573,207525,119,9742
23 Jun 2020,2445,209970,121,9863
24 Jun 2020,2531,212501,133,9996
25 Jun 2020,2595,215096,134,10130
26 Jun 2020,2628,217724,109,10239
27 Jun 2020,2456,220180,125,10364
28 Jun 2020,2489,222669,144,10508
29 Jun 2020,2536,225205,162,10670
30 Jun 2020,2457,227662,147,10817
1 Jul 2020,2549,230211,141,10958
2 Jul 2020,2652,232863,148,11106
3 Jul 2020,2566,235429,154,11260
4 Jul 2020,2449,237878,148,11408
5 Jul 2020,2560,240438,163,11571
6 Jul 2020,2613,243051,160,11731
7 Jul 2020,2637,245688,200,11931
8 Jul 2020,2691,248379,153,12084
9 Jul 2020,2079,250458,221,12305
10 Jul 2020,2262,252720,142,12447
11 Jul 2020,2397,255117,188,12635
12 Jul 2020,2186,257303,194,12829
13 Jul 2020,2349,259652,203,13032
14 Jul 2020,2521,262173,179,13211
15 Jul 2020,2388,264561,199,13410
16 Jul 2020,2500,267061,198,13608
17 Jul 2020,2379,269440,183,13791
18 Jul 2020,2166,271606,188,13979
19 Jul 2020,2182,273788,209,14188
20 Jul 2020,2414,276202,217,14405
21 Jul 2020,2625,278827,229,14634
22 Jul 2020,2586,281413,219,14853
23 Jul 2020,2621,284034,221,15074
24 Jul 2020,2489,286523,215,15289
25 Jul 2020,2316,288839,195,15484
26 Jul 2020,2333,291172,216,15700
27 Jul 2020,2434,293606,212,15912
28 Jul 2020,2667,296273,235,16147
29 Jul 2020,2636,298909,196,16343
30 Jul 2020,2621,301530,226,16569
31 Jul 2020,2674,304204,197,16766
1 Aug 2020,2548,306752,216,16982
2 Aug 2020,2685,309437,208,17190
3 Aug 2020,2598,312035,215,17405
4 Aug 2020,2751,314786,212,17617
5 Aug 2020,2697,317483,185,17802
6 Aug 2020,2634,320117,174,17976
7 Aug 2020,2450,322567,156,18132
8 Aug 2020,2125,324692,132,18264
9 Aug 2020,2020,326712,163,18427
10 Aug 2020,2132,328844,189,18616
11 Aug 2020,2345,331189,184,18800
12 Aug 2020,2510,333699,188,18988
13 Aug 2020,2625,336324,174,19162
14 Aug 2020,2501,338825,169,19331
15 Aug 2020,2245,341070,161,19492
16 Aug 2020,2133,343203,147,19639
17 Aug 2020,2247,345450,165,19804
18 Aug 2020,2385,347835,168,19972
19 Aug 2020,2444,350279,153,20125
20 Aug 2020,2279,352558,139,20264
21 Aug 2020,2206,354764,112,20376
22 Aug 2020,2028,356792,126,20502
23 Aug 2020,2113,358905,141,20643
24 Aug 2020,2245,361150,133,20776
25 Aug 2020,2213,363363,125,20901
26 Aug 2020,2243,365606,119,21020
27 Aug 2020,2190,367796,117,21137
28 Aug 2020,2115,369911,112,21249
29 Aug 2020,1905,371816,110,21359
30 Aug 2020,1754,373570,103,21462
31 Aug 2020,1642,375212,109,21571
01 Sep 2020,1682,376894,101,21672
02 Sep 2020,1858,378752,125,21797
03 Sep 2020,1994,380746,129,21926
04 Sep 2020,2026,382772,118,22044
05 Sep 2020,1894,384666,110,22154
06 Sep 2020,1992,386658,139,22293
07 Sep 2020,2152,388810,117,22410
08 Sep 2020,2302,391112,132,22542
09 Sep 2020,2313,393425,127,22669
10 Sep 2020,2063,395488,129,22798
11 Sep 2020,2313,397801,115,22913
12 Sep 2020,2139,399940,116,23029
13 Sep 2020,2089,402029,128,23157
14 Sep 2020,2619,404648,156,23313
15 Sep 2020,2705,407353,140,23453
16 Sep 2020,2981,410334,179,23632
17 Sep 2020,2815,413149,176,23808
18 Sep 2020,3049,416198,144,23952
19 Sep 2020,2845,419043,166,24118
20 Sep 2020,3097,422140,183,24301
21 Sep 2020,3341,425481,177,24478
22 Sep 2020,3712,429193,178,24656
23 Sep 2020,3605,432798,184,24840
24 Sep 2020,3521,436319,175,25015
25 Sep 2020,3563,439882,207,25222
26 Sep 2020,3204,443086,172,25394
27 Sep 2020,3362,446448,195,25589
28 Sep 2020,3512,449960,190,25779
29 Sep 2020,3677,453637,207,25986
30 Sep 2020,3582,457219,183,26169
01 Oct 2020,3825,461044,211,26380
02 Oct 2020,3552,464596,187,26567
03 Oct 2020,3523,468119,179,26746
04 Oct 2020,3653,471772,211,26957
05 Oct 2020,3902,475674,235,27192
06 Oct 2020,4151,479825,227,27419
07 Oct 2020,4019,483844,239,27658
08 Oct 2020,4392,488236,230,27888
09 Oct 2020,4142,492378,210,28098
10 Oct 2020,3875,496253,195,28293
11 Oct 2020,3822,500075,251,28544
12 Oct 2020,4206,504281,272,28816
13 Oct 2020,4108,508389,254,29070
